日期,客户编码,客户名称,产品编码,产品名称,送量,退量,销量,金额
2014/9/1,1018974,上海交通大学,5,曼可顿牛奶三文治面包-蜂蜜口味(350g),4,0,4,22.4
2014/9/1,1018974,上海交通大学,6,曼可顿牛奶三文治面包-芝士口味(350g),5,0,5,28
2014/9/1,1018974,上海交通大学,10191,曼可顿红豆面包(68g),20,0,20,30.4
2014/9/1,1018974,上海交通大学,10192,曼可顿椰蓉面包(68g),20,0,20,30.4
2014/9/1,1018974,上海交通大学,10203,曼可顿特选系列粗粮吐司面包(400g),14,0,14,78.4
2014/9/1,1018974,上海交通大学,10261,曼可顿超醇面包(100g),15,0,15,37.5
2014/9/1,1018974,上海交通大学,10263,曼可顿超醇面包(400g),12,0,12,89.52
2014/9/1,1018974,上海交通大学,10333,曼可顿手撕包（65g）,55,0,55,115.5
2014/9/1,1018974,上海交通大学,10340,曼可顿黄金蛋糕-原味(80g),30,0,30,98.4
2014/9/1,1018974,上海交通大学,10341,曼可顿超醇面包-全麦(200g),11,0,11,54.23
2014/9/1,1018974,上海交通大学,10351,曼可顿手撕包-原味(120g),10,0,10,43.4
2014/9/1,1018974,上海交通大学,10400,曼可顿强化营养面包（甜味）(310g),18,0,18,88.2
2014/9/1,1018974,上海交通大学,10401,曼可顿强化营养面包（咸味）(310g),14,0,14,68.6
2014/9/1,1018974,上海交通大学,10402,曼可顿强化营养面包（全麦）(310g),10,0,10,50
